query_id,x_r,y_r,th_r,x_d,y_d,th_d,x_u,y_u,th_u,x_e,y_e,th_e,errer_x,errer_y,errer_th
61031203053,-0.19950750830395347,-0.18308960892421422,-3.10189024523103,0,0,180,009.85,-001.9,0000.0
61031203057,-0.20264890942255445,-0.18251992828369068,-3.100184274356202,0,0,180,009.85,-001.9,0000.0
61031203101,-0.2053627478592424,-0.18203249101001018,-3.0987235744844353,0,0,180,009.85,-001.9,0000.0
61031203104,-0.2082409650841936,-0.18151625395004162,-3.097171295085045,0,0,180,009.85,-001.9,0000.0
61031203108,-0.2107474948402012,-0.181070839206623,-3.0958319810462243,0,0,180,009.85,-001.9,0000.0
61031203111,-0.21331041702015346,-0.18061654365923763,-3.094463094502987,0,0,180,009.85,-001.9,0000.0
61031203115,-0.21599274471844598,-0.18014337826659743,-3.093035822136387,0,0,180,005.75,-001.8,0000.0
61031203118,-0.21880837654865726,-0.17964817901742894,-3.0915396302501987,0,0,180,005.75,-001.8,0000.0
61031203122,-0.2217403181824888,-0.17913619846738266,-3.089992876840988,0.0,0.0,37.62565303000675,009.85,-001.9,0000.0
61031203125,-0.22222262282887031,-0.18358340936014433,-3.051582874729532,0.0,0.0,37.62565303000675,009.85,-001.9,0000.0
61031203129,-0.2252199724513852,-0.1832858987384941,-3.0505877851475125,0.0,0.0,37.62565303000675,009.85,-001.9,0000.0
61031203132,-0.22716790207936854,-0.18551278069784544,-3.0291661517807795,0.0,0.0,334.5268766135924,005.65,-001.8,0000.0
61031203136,-0.22045155693746252,-0.20460334749195916,-2.872880716855386,0.0,0.0,314.22350151523676,009.85,-001.9,0000.0
61031203139,-0.2105024821996648,-0.23033813323424954,-2.656084751897556,0.0,0.0,294.2424343194171,009.85,-001.9,0000.0
61031203143,-0.19578695146480346,-0.25700125489824976,-2.4143624324447504,0.0,0.0,274.16463812445363,005.75,-001.8,0000.0
61031203146,-0.1793982484900848,-0.27863142410122316,-2.1950617440756246,0.0,0.0,259.97098527896145,005.65,-001.8,0000.0
61031203150,-0.16985553514708274,-0.2893023786220499,-2.077952995568768,0.0,0.0,259.97098527896145,005.75,-001.8,0000.0
61031203153,-0.1811669601770527,-0.3134597532961075,-2.0564252932629903,-0.13917826301643724,-0.7869884801268311,259.97098527896145,009.85,-001.9,0000.0
61031203157,-0.2468809601170713,-0.5161827085667675,-1.927731588116736,-0.2009474736990012,-1.1362646974048412,259.97098527896145,009.85,-001.9,0000.0
61031203200,-0.3143673864604879,-0.70906493291356,-1.9131476256433382,-0.23019613890263496,-1.301652323859323,259.97098527896145,009.85,-001.9,0000.0
61031203204,-0.32840667064075346,-0.7494072214937838,-1.9155024536522416,-0.23019613890263496,-1.301652323859323,290.5237322704045,005.60,-001.8,0000.0
61031203207,-0.33399260769341493,-0.7514603438901485,-1.9788721521880943,-0.23019613890263496,-1.301652323859323,311.23215304818075,007.80,-002.0,0000.0
61031203211,-0.3442123392181004,-0.7486820559768848,-2.1066511554782497,-0.23019613890263496,-1.301652323859323,331.6407076416495,009.85,-001.9,0000.0
61031203214,-0.3566914741297642,-0.7401741357112199,-2.2636837917615082,-0.23019613890263496,-1.301652323859323,352.38454451226835,008.30,-001.8,0000.0
61031203218,-0.3748736648352297,-0.7234575156307339,-2.4769589918296098,-0.23019613890263496,-1.301652323859323,13.555307054214909,008.30,-001.8,0000.0
61031203222,-0.39017965026183254,-0.7045242687950403,-2.6754430854611493,-0.23019613890263496,-1.301652323859323,20.41936078648553,008.30,-001.8,0000.0
61031203225,-0.3928145834256147,-0.7049279034748204,-2.6902805025594607,0.3133364742218617,-1.0993052637306886,20.41936078648553,009.15,-001.8,0000.0
61031203229,-0.5101447649427855,-0.742869020277724,-2.777109859306267,0.6456441125558648,-0.9755933243704398,20.41936078648553,003.25,-001.9,0000.0
61031203232,-0.6724442333629036,-0.7928784566947578,-2.821347752052868,0.974738386711706,-0.8530776605949005,20.41936078648553,008.40,-001.8,0000.0
61031203236,-0.8473965731566669,-0.8474029985230794,-2.835589842777287,1.3059737268829732,-0.7297649178524299,20.41936078648553,000.35,-001.9,0000.0
61031203239,-1.0189493223988981,-0.9009072176614789,-2.838238392731407,1.6368357702818277,-0.6065911465398781,20.41936078648553,009.10,-001.9,0000.0
61031203243,-1.1851342665936513,-0.9529797398555044,-2.8378161494062506,1.9633569846592787,-0.4850333849566263,20.41936078648553,001.00,-001.9,0000.0
61031203246,-1.3449616205290313,-1.003397858839244,-2.836457576104255,2.2924688880216455,-0.3625111581561149,20.41936078648553,007.20,-001.9,0000.0
61031203250,-1.5034582049200187,-1.0536928755261417,-2.8348720350142833,2.619125326680339,-0.24090305509361132,20.41936078648553,002.10,-002.0,0000.0
61031203253,-1.6684720127539725,-1.1063695415835455,-2.8331415942373663,2.9477532647532816,-0.11856099954898296,20.41936078648553,005.00,-001.9,0000.0
61031203257,-1.8247852688823907,-1.1565657892353516,-2.831485664623572,3.270603046051439,0.001629955936315832,20.41936078648553,007.45,-001.9,0000.0
61031203300,-2.0133205889873143,-1.217491991012411,-2.8294716754016402,3.6072626629303595,0.12696205578563735,20.41936078648553,007.65,-001.8,0000.0
61031203304,-2.1960967016944135,-1.2769591666772497,-2.827515522372548,3.9297869630479547,0.2470318406945534,20.41936078648553,007.65,-001.8,0000.0
61031203307,-2.3653932249298877,-1.3323927537434888,-2.825694232489387,4.257133912477846,0.36889700804569103,20.41936078648553,007.60,-001.8,0000.0
61031203311,-2.5800899410034526,-1.4031857191766113,-2.823393578114028,4.587237319058966,0.49178835301239826,20.41936078648553,001.70,-001.9,0000.0
61031203314,-2.7586878223985973,-1.462493466780885,-2.821473818428439,4.91967475214672,0.6155486125400254,20.41936078648553,000.70,-001.8,0000.0
61031203318,-2.93650564662912,-1.5219187032984998,-2.819553721214348,5.246363991407672,0.7371689266553277,20.41936078648553,007.60,-001.8,0000.0
61031203321,-3.1312493006349755,-1.5874382238410527,-2.8174616208372893,5.577888236066117,0.8605892231530411,20.41936078648553,007.50,-001.8,0000.0
61031203325,-3.3141545983847536,-1.6493860400066587,-2.8154857020782633,5.90605267571045,0.982758726872553,20.41936078648553,009.05,-001.9,0000.0
61031203328,-3.469517601655401,-1.691456549516897,-2.751409435702032,6.23210078385344,1.1041403598236699,20.41936078648553,007.40,-001.8,0000.0
61031203332,-3.529737996464669,-1.6668531069601946,-2.4202753233904875,6.559319815403301,1.2259579057325207,20.41936078648553,007.40,-001.8,0000.0
61031203335,-3.558645955064815,-1.6591017051771468,-2.319250485488217,6.889019872889098,1.348699091349681,20.41936078648553,007.40,-001.8,0000.0
61031203339,-3.5843329299243254,-1.6513057926560195,-2.2589894146749243,7.219071374974973,1.471571113240329,20.41936078648553,009.05,-001.9,0000.0
61031203342,-3.612327241977239,-1.642081818086814,-2.179269691232526,7.56016604440371,1.5985543004822038,20.41936078648553,007.55,-001.8,0000.0
61031203346,-3.6413108137221286,-1.6332493284226264,-2.089943852001223,7.896344153803995,1.723707144072788,20.41936078648553,002.05,-001.9,0000.0
61031203350,-3.67603786522252,-1.6240902487103341,-1.971597554028298,8.23206052993069,1.8486880929725678,20.41936078648553,007.45,-001.8,0000.0
61031203353,-3.707455134981255,-1.617605801156037,-1.8438353863523482,8.558362172429133,1.9701641120382039,20.41936078648553,000.05,-001.8,0000.0
61031203357,-3.7331794446603603,-1.6148243403674418,-1.725373004642874,8.892466805610885,2.0945450390833282,20.41936078648553,009.65,-001.9,0000.0
61031203400,-3.745665897878151,-1.6146614815835159,-1.6605351612106607,9.218450072236358,2.215902532746142,20.41936078648553,003.45,-001.9,0000.0
61031203404,-3.7547675446949227,-1.6152248457603529,-1.6078469120647365,9.407672702439122,2.286346590759945,20.41936078648553,007.30,-001.8,0000.0
61031203407,-3.7569740721835156,-1.6155477708037251,-1.590742714495276,9.407672702439122,2.286346590759945,20.41936078648553,007.55,-001.8,0000.0
